東京,35.681382,139.76608399999998
有楽町,35.675069,139.763328
新橋,35.665498,139.75964
浜松町,35.655646,139.756749
田町,35.645736,139.74757499999998
高輪ゲートウェイ,35.6355406,139.7407245
品川,35.630152,139.74044000000004
大崎,35.6197,139.72855300000003
五反田,35.626446,139.72344399999997
目黒,35.633998,139.715828
恵比寿,35.64669,139.710106
渋谷,35.658517,139.70133399999997
原宿,35.670168,139.70268699999997
代々木,35.683061,139.702042
新宿,35.690921,139.70025799999996
新大久保,35.701306,139.70004399999993
高田馬場,35.712285,139.70378200000005
目白,35.721204,139.706587
池袋,35.728926,139.71038
大塚,35.731401,139.72866199999999
巣鴨,35.733492,139.73934499999996
駒込,35.736489,139.74687500000005
田端,35.738062,139.76085999999998
西日暮里,35.732135,139.76678700000002
日暮里,35.727772,139.770987
鶯谷,35.720495,139.77883700000007
上野,35.713768,139.77725399999997
御徒町,35.707438,139.774632
秋葉原,35.698683,139.77421900000002
神田,35.69169,139.77088300000003
東京,35.681382,139.76608399999998
